page,context_headings,gebinde,ve,inhalt,pzn,artnr
73,IHO / ÖGHMP / VAH / HACCP,Kittelflasche,20,150 ml,16821124,00-457OP-0015
73,IHO / ÖGHMP / VAH / HACCP,Spenderflasche,20,500 ml,13420821,00-457OP-005
73,IHO / ÖGHMP / VAH / HACCP,ESH Vacu-Bag kurze Pumpe,8,700 ml,19764510,00-457OP-B007
73,IHO / ÖGHMP / VAH / HACCP,Spenderflasche,12,1 L,13420809,00-457OP-010
73,IHO / ÖGHMP / VAH / HACCP,Kanister,3,5 L,14307340,00-457OP-050
74,IHO / PRESERVE / PREVENT PRESERVE PROTECT / ASEPTOMAN® MED,Kittelflasche,20,150 ml,19301684,00-407OP-0015
74,IHO / PRESERVE / PREVENT PRESERVE PROTECT / ASEPTOMAN® MED,Spenderflasche,20,500 ml,19301715,00-407OP-005
74,IHO / PRESERVE / PREVENT PRESERVE PROTECT / ASEPTOMAN® MED,Spenderflasche,12,1 L,19301738,00-407OP-010
74,IHO / ASEPTOMAN® DUO / ASEPTOMAN® PLUS / PRESERVE,Kittelflasche,20,150 ml,20087799,00-407OP-0015-30
74,IHO / ASEPTOMAN® DUO / ASEPTOMAN® PLUS / PRESERVE,Spenderflasche,20,500 ml,20087782,00-407OP-005-30
74,IHO / ASEPTOMAN® DUO / ASEPTOMAN® PLUS / PRESERVE,Spenderflasche,12,1 L,20087813,00-407OP-010-30
76,ASEPTOMAN® FORTE / VAH / IHO / PREVENT PRESERVE PROTECT,Kittelflasche,20,100 ml,15190561,00-485OP-001
76,ASEPTOMAN® FORTE / VAH / IHO / PREVENT PRESERVE PROTECT,Kittelflasche,20,150 ml,16821130,00-485OP-0015
76,ASEPTOMAN® FORTE / VAH / IHO / PREVENT PRESERVE PROTECT,Spenderflasche,20,500 ml,15190578,00-485OP-005-01
76,ASEPTOMAN® FORTE / VAH / IHO / PREVENT PRESERVE PROTECT,Spenderflasche,12,1 L,19228993,00-485OP-010-01
76,ASEPTOMAN® FORTE / VAH / IHO / PREVENT PRESERVE PROTECT,Kanister,3,5 L,15190590,00-485OP-050-01
76,IHO / PREVENT PRESERVE PROTECT / PROTECT / ASEPTOMAN® VIRAL,Kittelflasche,20,150 ml,16824602,00-410OP-0015
76,IHO / PREVENT PRESERVE PROTECT / PROTECT / ASEPTOMAN® VIRAL,Spenderflasche,20,500 ml,09612377,00-410OP-005
76,IHO / PREVENT PRESERVE PROTECT / PROTECT / ASEPTOMAN® VIRAL,Spenderflasche,12,1 L,09612383,00-410OP-010
77,IHO / RKI AB / HACCP / ASEPTOMAN® GEL,Kittelflasche,20,150 ml,19228935,00-409-0015-02
77,IHO / RKI AB / HACCP / ASEPTOMAN® GEL,Spenderflasche,20,500 ml,10109086,00-409-005-01
77,IHO / RKI AB / HACCP / ASEPTOMAN® GEL,Spenderflasche,12,1 L,10109092,00-409-010-01
80,ASEPTODERM® GEFÄRBT • • • • • • • • • / HÄNDE UND HAUT / DESCODERM / HAUTDESINFEKTION,Sprühflasche,30,250 ml,04606343,00-401-0025
81,PREVENT / ASEPTODERM® GEFÄRBT / ASEPTODERM® / VAH VAH,Sprühflasche,20,250 ml,00143633,00-501OP-0025
81,PREVENT / ASEPTODERM® GEFÄRBT / ASEPTODERM® / VAH VAH,Flasche,10,1 L,00143656,00-501OP-010
81,PREVENT / ASEPTODERM® GEFÄRBT / ASEPTODERM® / VAH VAH,Flasche,10,1 L,10302771,00-502OP-010
84,DESCOLIND COMFORT / WASH / DESCOLIND COMFORT / LIGHT CREAM,Spenderflasche,20,500 ml,16660862,00-607-005-01
84,DESCOLIND COMFORT / WASH / DESCOLIND COMFORT / LIGHT CREAM,Spenderflasche,12,1 L,16660856,00-607-010-01
84,DESCOLIND COMFORT / WASH / DESCOLIND COMFORT / LIGHT CREAM,Tube,12,100 ml,16660980,00-602-001-03
84,DESCOLIND COMFORT / WASH / DESCOLIND COMFORT / LIGHT CREAM,Spenderflasche,20,500 ml,16660997,00-602-005-03
86,DESCOLIND PURE / WASH / DESCOLIND PURE / LIGHT CREAM,Spenderflasche,20,500 ml,16674930,00-631OP-005-01
86,DESCOLIND PURE / WASH / DESCOLIND PURE / LIGHT CREAM,ESH Vacu-Bag kurze Pumpe,8,700 ml,19764527,00-631OP-B007
86,DESCOLIND PURE / WASH / DESCOLIND PURE / LIGHT CREAM,ESH Vacu-Bag lange Pumpe,8,700 ml,19980107,00-631OP-B007L
86,DESCOLIND PURE / WASH / DESCOLIND PURE / LIGHT CREAM,Spenderflasche,12,1 L,16674924,00-631OP-010-01
86,DESCOLIND PURE / WASH / DESCOLIND PURE / LIGHT CREAM,Kanister,3,5 L,16674947,00-631OP-050-01
86,DESCOLIND PURE / WASH / DESCOLIND PURE / LIGHT CREAM,Tube,12,100 ml,16660810,00-602DS-001
86,DESCOLIND PURE / WASH / DESCOLIND PURE / LIGHT CREAM,Spenderflasche,20,500 ml,16660827,00-602DS-005
87,LIGHT CREAM / HACCPHACCP / DESCOLIND PURE / INTENSIVE CREAM,Tube,12,100 ml,16674982,00-622IS-001
87,LIGHT CREAM / HACCPHACCP / DESCOLIND PURE / INTENSIVE CREAM,Spenderflasche,20,500 ml,16674999,00-622IS-005
88,DESCOLIND EXPERT / WASH / DESCOLIND EXPERT / LIGHT CREAM,Spenderflasche,20,500 ml,16660945,00-614-005-03
88,DESCOLIND EXPERT / WASH / DESCOLIND EXPERT / LIGHT CREAM,Spenderflasche,12,1 L,16660916,00-614-010-03
88,DESCOLIND EXPERT / WASH / DESCOLIND EXPERT / LIGHT CREAM,Tube,12,100 ml,16660968,00-620HC-001-01
88,DESCOLIND EXPERT / WASH / DESCOLIND EXPERT / LIGHT CREAM,Spenderflasche,20,500 ml,16660974,00-620HC-005-01
89,DESCOLIND EXPERT / INTENSIVE CREAM / DESCOLIND EXPERT / PROTECT CREAM,Tube,12,100 ml,16674893,00-623-001-01
89,DESCOLIND EXPERT / INTENSIVE CREAM / DESCOLIND EXPERT / PROTECT CREAM,Spenderflasche,20,500 ml,16674901,00-623-005-01
89,DESCOLIND EXPERT / INTENSIVE CREAM / DESCOLIND EXPERT / PROTECT CREAM,ESH Vacu-Bag kurze Pumpe,8,700 ml,19764496,00-623-B007
89,DESCOLIND EXPERT / INTENSIVE CREAM / DESCOLIND EXPERT / PROTECT CREAM,ESH Vacu-Bag lange Pumpe,8,700 ml,19980082,00-623-B007L
89,DESCOLIND EXPERT / INTENSIVE CREAM / DESCOLIND EXPERT / PROTECT CREAM,Tube,12,100 ml,16675007,00-622OP-001-02
90,DESCOLIND EXPERT / PROTECT CREAM / HACCP HACCP / DESCOMED BARRIERECREME,Tube,12,100 ml,16237187,00-627-001
91,HACCP HACCP / DESCOMED BARRIERECREME / DESCO VITAL GEL / DESCOMED ÖLBAD,Flasche,9,250 ml,01899190,00-609-0025-01
91,HACCP HACCP / DESCOMED BARRIERECREME / DESCO VITAL GEL / DESCOMED ÖLBAD,Flasche,6,500 ml,07133230,00-609-005-01
91,HACCP HACCP / DESCOMED BARRIERECREME / DESCO VITAL GEL / DESCOMED ÖLBAD,Kanister,3,5 L,07133253,00-609-050-01
91,HACCP HACCP / DESCOMED BARRIERECREME / DESCO VITAL GEL / DESCOMED ÖLBAD,Tube,12,100 ml,04918255,00-605-001
91,HACCP HACCP / DESCOMED BARRIERECREME / DESCO VITAL GEL / DESCOMED ÖLBAD,Spenderflasche,20,500 ml,00190615,00-605-005
92,DESCOMED BARRIERECREME / DESCO VITAL GEL / DESCOMED ÖLBAD / (DAAB),Packung,12,80 Tücher,18410661,00-639NK-T080
92,DESCOMED BARRIERECREME / DESCO VITAL GEL / DESCOMED ÖLBAD / (DAAB),Packung,24,10 Tücher,18649735,00-604DW1-T010-01
93,(DAAB) / DESODERM CARE WIPES / DESCOLIND CARE WIPES / BABY WIPES SENSITIVE,Packung,12,80 Tücher,20131431,00-639NK-T080-01
96,DESCOPRENT • • • • • • • / INSTRUMENTE / PLURAZYME® EXTRA / MANUSHIELD® CLEANER,Flasche,6,2 L,18413435,00-104-020-02
96,DESCOPRENT • • • • • • • / INSTRUMENTE / PLURAZYME® EXTRA / MANUSHIELD® CLEANER,Kanister,3,5 L,18413464,00-104-050-01
96,DESCOPRENT • • • • • • • / INSTRUMENTE / PLURAZYME® EXTRA / MANUSHIELD® CLEANER,Spenderflasche,12,1 L,16777021,00-138-010
96,DESCOPRENT • • • • • • • / INSTRUMENTE / PLURAZYME® EXTRA / MANUSHIELD® CLEANER,Dosierflasche,10,1 L,19172821,00-138-010-01
96,DESCOPRENT • • • • • • • / INSTRUMENTE / PLURAZYME® EXTRA / MANUSHIELD® CLEANER,Flasche,6,2 L,16777038,00-138-020-02
96,DESCOPRENT • • • • • • • / INSTRUMENTE / PLURAZYME® EXTRA / MANUSHIELD® CLEANER,Kanister,3,5 L,16777044,00-138-050-02
97,PLURAZYME® EXTRA / MANUSHIELD® CLEANER / ORANGE SOLVENT / DESCO CLEANER,Dose,6,1 kg,19385557,00-115-010
97,PLURAZYME® EXTRA / MANUSHIELD® CLEANER / ORANGE SOLVENT / DESCO CLEANER,Eimer,1,5 kg,19385586,00-115-050
97,PLURAZYME® EXTRA / MANUSHIELD® CLEANER / ORANGE SOLVENT / DESCO CLEANER,Flasche,9,250 ml,00792320,00-805-0025
97,PLURAZYME® EXTRA / MANUSHIELD® CLEANER / ORANGE SOLVENT / DESCO CLEANER,Flasche,6,500 ml,00792337,00-805-005
100,PREVENT PRESERVE PROTECT / PERFEKTAN® ENZYME / PERFEKTAN® NEU / PREVENT PREVENT,Spenderflasche,12,1 L,17168086,00-128-010
100,PREVENT PRESERVE PROTECT / PERFEKTAN® ENZYME / PERFEKTAN® NEU / PREVENT PREVENT,Flasche,6,2 L,17168057,00-128-020
100,PREVENT PRESERVE PROTECT / PERFEKTAN® ENZYME / PERFEKTAN® NEU / PREVENT PREVENT,Kanister,3,5 L,17168063,00-128-050
100,PREVENT PRESERVE PROTECT / PERFEKTAN® ENZYME / PERFEKTAN® NEU / PREVENT PREVENT,Dosierflasche,10,1 L,01833848,00-136-010
100,PREVENT PRESERVE PROTECT / PERFEKTAN® ENZYME / PERFEKTAN® NEU / PREVENT PREVENT,Kanister,3,5 L,01833860,00-136-050
101,VAH / PERFEKTAN® TB / PERFEKTAN® ENDO / PREVENT PREVENT,Dosierflasche,10,1 L,01833877,00-122-010-01
101,VAH / PERFEKTAN® TB / PERFEKTAN® ENDO / PREVENT PREVENT,Flasche,6,2 L,16202349,00-122-020-02
101,VAH / PERFEKTAN® TB / PERFEKTAN® ENDO / PREVENT PREVENT,Kanister,3,5 L,01810474,00-122-050-01
101,PERFEKTAN® ENDO / PREVENT PREVENT / PREVENT PRESERVE PROTECT / PREVENT PRESERVE PROTECT,Dosierflasche,10,1 L,01899563,00-121-010-01
101,PERFEKTAN® ENDO / PREVENT PREVENT / PREVENT PRESERVE PROTECT / PREVENT PRESERVE PROTECT,Flasche,6,2 L,16851303,00-121-020-02
101,PERFEKTAN® ENDO / PREVENT PREVENT / PREVENT PRESERVE PROTECT / PREVENT PRESERVE PROTECT,Kanister,3,5 L,01971303,00-121-050-01
102,IHO / VAH / DESCOTON EXTRA / PROTECTPROTECT,Dosierflasche,10,1 L,01825168,00-150-010
102,IHO / VAH / DESCOTON EXTRA / PROTECTPROTECT,Flasche,6,2 L,16202303,00-150-020-01
102,IHO / VAH / DESCOTON EXTRA / PROTECTPROTECT,Kanister,3,5 L,01825180,00-150-050
102,IHO / VAH / PERFEKTAN® ACTIVE / PREVENT PRESERVE PROTECT,Sachet,100,40 g,10966229,00-155-0004
102,IHO / VAH / PERFEKTAN® ACTIVE / PREVENT PRESERVE PROTECT,Eimer,6,1 kg,10966241,00-155-010
103,ÖGHMP / VAH / DESCOSUC / DESCOSUC CLEANER,Kanister,3,5 L,18655523,00-814-050-01
103,DESCOSUC / DESCOSUC CLEANER / PREVENT PRESERVE PROTECT / PREVENT,Kanister,3,5 L,18655546,00-818-050-01
104,VAH / DESCO BOHRERBAD / DESCO TRAY CLEANER / PREVENT PRESERVE PROTECT,Flasche,6,2 L,16135038,00-803-020-01
104,VAH / DESCO BOHRERBAD / DESCO TRAY CLEANER / PREVENT PRESERVE PROTECT,Kanister,3,5 L,16135044,00-803-050
104,DESCO TRAY CLEANER / PREVENT PRESERVE PROTECT / PREVENT / VAH,Kanister,3,5 L,18679736,00-817-050-01
105,PREVENT / VAH / DESCOPRENT / PREVENT PRESERVE PROTECT,Kanister,3,5 L,18909780,00-813-050
108,INSTRUMENTE / THERMOSHIELD® / DESINFEKTANT / PROTECT,Flachkanister,3,5 L,16202390,00-134-050-01
108,DESINFEKTANT / PROTECT / PREVENT PRESERVE PROTECT / THERMOSHIELD® FLEX,Flachkanister,3,5 L,19107717,00-183-050
110,THERMOSHIELD® FLEX / IHO / VAH / THERMOSHIELD® XTREME,Flachkanister,3,5 L,15869117,00-170-050
110,THERMOSHIELD® FLEX / IHO / VAH / THERMOSHIELD® XTREME,Kanister,1,10 L,15869100,00-170-100
110,IHO / VAH / THERMOSHIELD® XTREME / THERMOSHIELD® NR,Flachkanister,3,5 L,16202409,00-119-050-02
112,VAH / THERMOSHIELD® XTREME / THERMOSHIELD® NR / THERMOSHIELD® BASIX,Flachkanister,3,5 L,16202378,00-173-050
112,THERMOSHIELD® XTREME / THERMOSHIELD® NR / THERMOSHIELD® BASIX / THERMOSHIELD® C,Flachkanister,3,5 L,16202384,00-180-050
113,THERMOSHIELD® NR / THERMOSHIELD® BASIX / THERMOSHIELD® C / THERMOSHIELD® SHINE,Spenderflasche,12,1 L,16128386,00-182-010
113,THERMOSHIELD® NR / THERMOSHIELD® BASIX / THERMOSHIELD® C / THERMOSHIELD® SHINE,Flachkanister,3,5 L,16851326,00-182-050
113,THERMOSHIELD® BASIX / THERMOSHIELD® C / THERMOSHIELD® SHINE / THERMOSHIELD® P,Flachkanister,3,5 L,16202415,00-181-050
114,THERMOSHIELD® C / THERMOSHIELD® SHINE / THERMOSHIELD® P / THERMO CLEAR,Flachkanister,3,5 L,16202361,00-127-050
114,THERMOSHIELD® SHINE / THERMOSHIELD® P / THERMO CLEAR / THERMO ALKA CLEAR,Kanister,3,"4,25 L",16202355,00-137-050
115,THERMOSHIELD® P / THERMO CLEAR / THERMO ALKA CLEAR / SPEZIAL ÖLSPRAY,Sprühdose,12,300 ml,15882595,00-108-003
